Distance,Speed,Lateral G,Longitudinal G
0,194.599999,0.05776636,0.162071846
5,195.749999,0.07958921,0.205385258
11,196.099999,0.09306803,0.195617248
16,197.049999,0.09370988,0.204164256
22,197.749999,0.08215660,0.199280251
27,198.549999,0.05840821,0.201722254
33,199.299999,0.03337612,0.198059250
38,199.849999,0.00834403,0.201722254
44,200.849999,-0.00256739,0.207827260
50,201.499999,0.00128370,0.210269262
55,202.649999,0.02567394,0.200501253
61,203.049999,0.05198972,0.191954244
66,204.049999,0.07381257,0.190733243
72,204.699999,0.08408215,0.188291240
78,205.399999,0.08664954,0.180965233
84,206.099999,0.08729139,0.171197223
89,206.849999,0.09242618,0.172418224
95,207.499999,0.10718870,0.172418224
101,208.199999,0.10847239,0.169976222
107,209.099999,0.11103979,0.166313219
112,209.649999,0.10911424,0.169976222
118,210.349999,0.10397945,0.161429214
124,210.999999,0.10975609,0.154103206
130,211.949999,0.11810012,0.149219202
136,212.399999,0.12901155,0.141893194
142,213.299999,0.12323491,0.152882205
148,213.999999,0.10847239,0.147998200
154,214.349999,0.07445442,0.145556198
160,215.399999,0.03465982,0.165092217
166,215.949999,0.00128370,0.162650215
172,216.499999,-0.01797175,0.141893194
178,217.099999,-0.05123267,0.158987211
184,218.099999,-0.10070438,0.182186234
190,218.549999,-0.12621375,0.182186234
196,219.249999,-0.18205457,0.177302229
202,220.099999,-0.21663210,0.182186234
208,220.499999,-0.24039695,0.189512242
214,221.099999,-0.28417431,0.187070239
220,221.599999,-0.31857081,0.107673028
227,220.349999,-0.33107863,-0.274885933
233,216.349999,-0.31169151,-0.843358395
239,212.599999,-0.26979033,-1.195488721
244,206.799999,-0.22226062,-1.363408521
250,201.799999,-0.19411803,-1.503759398
256,196.799999,-0.19536881,-1.571428571
261,189.999999,-0.24164773,-1.463659147
266,187.149999,-0.29605674,-1.383458646
271,183.099999,-0.33232941,-1.408521303
276,178.699999,-0.38110990,-1.368421052
281,173.799999,-0.41488101,-1.315789473
286,169.699999,-0.42363648,-1.344611528
290,165.399999,-0.44740133,-1.324561403
295,157.899999,-0.47304236,-1.192982456
299,159.099999,-0.51744511,-1.170426065
304,152.499999,-0.59124123,-1.155388471
308,149.299999,-0.69255455,-1.081453634
312,146.799999,-0.81763273,-1.066416040
316,141.699999,-0.92832691,-0.929824561
320,139.899999,-1.01900859,-0.855889724
324,136.499999,-1.10156018,-0.780701754
327,134.299999,-1.09905862,-0.620300751
331,131.849999,-1.10718870,-0.636591478
335,128.199999,-1.13220433,-0.631578947
338,125.899999,-1.21475593,-0.593984962
342,124.499999,-1.30231065,-0.590225563
345,122.199999,-1.38236068,-0.538847117
348,119.899999,-1.40049702,-0.433583959
352,119.099999,-1.41363022,-0.342105263
355,116.599999,-1.40550014,-0.325814536
358,114.449999,-1.45865837,-0.312030075
361,111.399999,-1.48492478,-0.309523809
364,111.049999,-1.43614430,-0.304511278
368,108.899999,-1.48680096,-0.286967418
371,107.599999,-1.40174780,-0.174185463
374,107.999999,-1.46178532,-0.150375939
377,106.299999,-1.52119745,-0.122807017
379,105.799999,-1.48555017,-0.083959899
382,105.199999,-1.52995293,-0.145363408
385,103.699999,-1.54621309,-0.130325814
388,102.899999,-1.58436193,-0.085213032
391,102.299999,-1.62813929,-0.072681704
394,101.149999,-1.67316744,0.069854123
397,100.599999,-1.64752641,0.252618726
399,101.199999,-1.59124123,0.339695392
402,101.749999,-1.55371778,0.403187455
405,102.499999,-1.50493729,0.478889531
408,103.899999,-1.51431816,0.509414562
411,105.299999,-1.52432441,0.524066576
414,106.799999,-1.52870215,0.526508579
417,107.449999,-1.52557519,0.500867553
